epoch,step,train_loss,val_loss,val_r_square
0,2158,,1.0675140619277954,0.005210995674133301
0,2158,1.509675145149231,,
1,4317,,1.0675040483474731,0.005220353603363037
1,4317,1.507338047027588,,
2,6476,,1.0663495063781738,0.0062961578369140625
2,6476,1.5058927536010742,,
3,8635,,1.066312551498413,0.006330728530883789
3,8635,1.5048214197158813,,
4,10794,,1.065680742263794,0.006919503211975098
4,10794,1.5040582418441772,,
5,12953,,1.0653767585754395,0.007202744483947754
5,12953,1.5032970905303955,,
6,15112,,1.065457820892334,0.007127225399017334
6,15112,1.5028038024902344,,
7,17271,,1.0644277334213257,0.008087098598480225
7,17271,1.5026360750198364,,
8,19430,,1.0655639171600342,0.007028400897979736
8,19430,1.5022172927856445,,
9,21589,,1.0669724941253662,0.005715787410736084
9,21589,1.5020041465759277,,
10,23748,,1.0652471780776978,0.00732344388961792
10,23748,1.5017154216766357,,
11,25907,,1.0658637285232544,0.006748974323272705
11,25907,1.5017188787460327,,
12,28066,,1.0663862228393555,0.006262063980102539
12,28066,1.5016967058181763,,
13,30225,,1.0656909942626953,0.00690990686416626
13,30225,1.5013490915298462,,
14,32384,,1.0655637979507446,0.0070282816886901855
14,32384,1.5000711679458618,,
15,34543,,1.064998984336853,0.0075547099113464355
15,34543,1.4999103546142578,,
16,36702,,1.0648083686828613,0.00773245096206665
16,36702,1.4996393918991089,,
17,38861,,1.0646986961364746,0.00783461332321167
17,38861,1.4996764659881592,,
18,41020,,1.064860224723816,0.007684111595153809
18,41020,1.4996271133422852,,
19,43179,,1.0644636154174805,0.008053600788116455
19,43179,1.4996976852416992,,
20,45338,,1.0638893842697144,0.008588790893554688
20,45338,1.4988807439804077,,
21,47497,,1.0644835233688354,0.008035123348236084
21,47497,1.4986625909805298,,
22,49656,,1.0639089345932007,0.008570671081542969
22,49656,1.4984842538833618,,
23,51815,,1.0642722845077515,0.0082319974899292
23,51815,1.4984253644943237,,
24,53974,,1.0645314455032349,0.007990360260009766
24,53974,1.4985944032669067,,
25,56133,,1.0646898746490479,0.00784289836883545
25,56133,1.4984033107757568,,
26,58292,,1.0638649463653564,0.008611619472503662
26,58292,1.4986071586608887,,
27,60451,,1.0643788576126099,0.008132755756378174
27,60451,1.4979805946350098,,
28,62610,,1.0634361505508423,0.009011149406433105
28,62610,1.4977108240127563,,
29,64769,,1.064200758934021,0.00829857587814331
29,64769,1.4978055953979492,,
30,66928,,1.0643372535705566,0.008171379566192627
30,66928,1.4977502822875977,,
31,69087,,1.0643640756607056,0.008146405220031738
31,69087,1.4977473020553589,,
32,71246,,1.0639727115631104,0.008511185646057129
32,71246,1.4976860284805298,,
33,73405,,1.0643447637557983,0.00816434621810913
33,73405,1.4976752996444702,,
34,75564,,1.0638823509216309,0.00859534740447998
34,75564,1.4976686239242554,,
35,77723,,1.0634816884994507,0.008968710899353027
35,77723,1.4973682165145874,,
36,79882,,1.0638039112091064,0.00866842269897461
36,79882,1.4973113536834717,,
37,82041,,1.0640265941619873,0.0084608793258667
37,82041,1.4973491430282593,,
38,84200,,1.0643048286437988,0.00820159912109375
38,84200,1.4973475933074951,,
39,86359,,1.0637627840042114,0.008706748485565186
39,86359,1.4971857070922852,,
40,88518,,1.0635440349578857,0.008910596370697021
40,88518,1.4971003532409668,,
41,90677,,1.0638128519058228,0.00866013765335083
41,90677,1.497096061706543,,
42,92836,,1.0633771419525146,0.009066104888916016
42,92836,1.4970314502716064,,
43,94995,,1.0638561248779297,0.00861978530883789
43,94995,1.4969054460525513,,
44,97154,,1.0636788606643677,0.008785009384155273
44,97154,1.4968726634979248,,
45,99313,,1.0636630058288574,0.008799731731414795
45,99313,1.496983289718628,,
46,101472,,1.0635560750961304,0.008899390697479248
46,101472,1.4968379735946655,,
47,103631,,1.0636869668960571,0.008777439594268799
47,103631,1.496759295463562,,
48,105790,,1.0634857416152954,0.008964955806732178
48,105790,1.4969274997711182,,
49,107949,,1.0634405612945557,0.009007036685943604
49,107949,1.4968199729919434,,
50,110108,,1.0635874271392822,0.008870124816894531
50,110108,1.4967540502548218,,
51,112267,,1.0637037754058838,0.008761763572692871
51,112267,1.4968599081039429,,
52,114426,,1.0636502504348755,0.008811593055725098
52,114426,1.4968419075012207,,
53,116585,,1.0635833740234375,0.00887387990951538
53,116585,1.496711254119873,,
54,118744,,1.063393473625183,0.009050846099853516
54,118744,1.4967775344848633,,
55,120903,,1.0636203289031982,0.008839547634124756
55,120903,1.4968010187149048,,
56,123062,,1.0635097026824951,0.00894254446029663
56,123062,1.4966853857040405,,
57,125221,,1.0637962818145752,0.00867551565170288
57,125221,1.4967490434646606,,
58,127380,,1.0633623600006104,0.009079813957214355
58,127380,1.4967327117919922,,
59,129539,,1.063645362854004,0.008816003799438477
59,129539,1.4967457056045532,,
60,131698,,1.0631874799728394,0.009242892265319824
60,131698,1.4967938661575317,,
61,133857,,1.0637614727020264,0.008707940578460693
61,133857,1.4965895414352417,,
62,136016,,1.063642144203186,0.008819222450256348
62,136016,1.4967620372772217,,
63,138175,,1.0635212659835815,0.00893181562423706
63,138175,1.496773600578308,,
64,140334,,1.063594937324524,0.00886315107345581
64,140334,1.4966930150985718,,
65,142493,,1.063377022743225,0.009066224098205566
65,142493,1.4965181350708008,,
66,144652,,1.0637524127960205,0.008716404438018799
66,144652,1.4966559410095215,,
67,146811,,1.0636672973632812,0.008795738220214844
67,146811,1.4966046810150146,,
68,148970,,1.0633999109268188,0.009044945240020752
68,148970,1.4967193603515625,,
69,151129,,1.06376314163208,0.008706450462341309
69,151129,1.4967546463012695,,
70,153288,,1.0637670755386353,0.008702754974365234
70,153288,1.4966068267822266,,
71,155447,,1.0636435747146606,0.008817851543426514
71,155447,1.4967466592788696,,
72,157606,,1.063496708869934,0.00895470380783081
72,157606,1.4966182708740234,,
73,159765,,1.063614010810852,0.008845269680023193
73,159765,1.496810793876648,,
74,161924,,1.0636621713638306,0.008800506591796875
74,161924,1.496691346168518,,
75,164083,,1.0636847019195557,0.008779525756835938
75,164083,1.4967341423034668,,
76,166242,,1.0633916854858398,0.009052574634552002
76,166242,1.4966752529144287,,
77,168401,,1.0636789798736572,0.008784890174865723
77,168401,1.496575951576233,,
78,170560,,1.0636422634124756,0.008819222450256348
78,170560,1.4966984987258911,,
79,172719,,1.0635900497436523,0.008867740631103516
79,172719,1.4966130256652832,,
80,174878,,1.0636342763900757,0.00882655382156372
80,174878,1.4966652393341064,,
81,177037,,1.063401222229004,0.009043633937835693
81,177037,1.4966466426849365,,
82,179196,,1.0634732246398926,0.008976459503173828
82,179196,1.4966922998428345,,
83,181355,,1.0634433031082153,0.009004592895507812
83,181355,1.4966822862625122,,
84,183514,,1.0633325576782227,0.009107708930969238
84,183514,1.4966973066329956,,
85,185673,,1.06373929977417,0.008728623390197754
85,185673,1.4965475797653198,,
